"","dags2","hvida"
"1",2019-10-01,8
"2",2019-10-02,13
"3",2019-10-03,15
"4",2019-10-04,13
"5",2019-10-05,18
"6",2019-10-06,12
"7",2019-10-07,18
"8",2019-10-08,21
"9",2019-10-09,27
"10",2019-10-10,36
"11",2019-10-11,29
"12",2019-10-12,14
"13",2019-10-13,6
"14",2019-10-14,12
"15",2019-10-15,19
"16",2019-10-16,20
"17",2019-10-17,15
"18",2019-10-18,13
"19",2019-10-19,13
"20",2019-10-20,17
"21",2019-10-21,23
"22",2019-10-22,28
"23",2019-10-23,21
"24",2019-10-24,20
"25",2019-10-25,20
"26",2019-10-26,8
"27",2019-10-27,8
"28",2019-10-28,15
"29",2019-10-29,20
"30",2019-10-30,14
"31",2019-10-31,13
"32",2019-11-01,6
"33",2019-11-02,7
"34",2019-11-03,8
"35",2019-11-04,5
"36",2019-11-05,10
"37",2019-11-06,11
"38",2019-11-07,6
"39",2019-11-08,11
"40",2019-11-09,13
"41",2019-11-10,17
"42",2019-11-11,27
"43",2019-11-12,17
"44",2019-11-13,8
"45",2019-11-14,7
"46",2019-11-15,23
"47",2019-11-16,16
"48",2019-11-17,12
"49",2019-11-18,10
"50",2019-11-19,11
"51",2019-11-20,5
"52",2019-11-21,8
"53",2019-11-22,14
"54",2019-11-23,14
"55",2019-11-24,15
"56",2019-11-25,7
"57",2019-11-26,5
"58",2019-11-27,5
"59",2019-11-28,9
"60",2019-11-29,11
"61",2019-11-30,13
"62",2019-12-01,14
"63",2019-12-02,26
"64",2019-12-03,29
"65",2019-12-04,16
"66",2019-12-05,11
"67",2019-12-06,12
"68",2019-12-07,21
"69",2019-12-08,30
"70",2019-12-09,18
"71",2019-12-10,41
"72",2019-12-11,36
"73",2019-12-12,20
"74",2019-12-13,11
"75",2019-12-14,15
"76",2019-12-15,12
"77",2019-12-16,31
"78",2019-12-17,21
"79",2019-12-18,23
"80",2019-12-19,36
"81",2019-12-20,33
"82",2019-12-21,32
"83",2019-12-22,31
"84",2019-12-23,23
"85",2019-12-24,8
"86",2019-12-25,14
"87",2019-12-26,13
"88",2019-12-27,14
"89",2019-12-28,21
"90",2019-12-29,22
"91",2019-12-30,18
"92",2019-12-31,19
"93",2020-01-01,20
"94",2020-01-02,22
"95",2020-01-03,17
"96",2020-01-04,29
"97",2020-01-05,24
"98",2020-01-06,19
"99",2020-01-07,29
"100",2020-01-08,27
"101",2020-01-09,25
"102",2020-01-10,30
"103",2020-01-11,23
"104",2020-01-12,21
"105",2020-01-13,41
"106",2020-01-14,47
"107",2020-01-15,30
